Epoch,Ep_Reward
0.0,24.0
1.0,27.0
2.0,14.0
3.0,21.0
4.0,25.0
5.0,18.0
6.0,18.0
7.0,41.0
8.0,17.0
9.0,46.0
10.0,10.0
11.0,42.0
12.0,15.0
13.0,13.0
14.0,43.0
15.0,84.0
16.0,42.0
17.0,19.0
18.0,11.0
19.0,19.0
20.0,16.0
21.0,21.0
22.0,15.0
23.0,21.0
24.0,27.0
25.0,24.0
26.0,26.0
27.0,16.0
28.0,22.0
29.0,54.0
30.0,21.0
31.0,28.0
32.0,39.0
33.0,27.0
34.0,20.0
35.0,16.0
36.0,22.0
37.0,45.0
38.0,35.0
39.0,21.0
40.0,21.0
41.0,30.0
42.0,38.0
43.0,17.0
44.0,39.0
45.0,17.0
46.0,20.0
47.0,13.0
48.0,16.0
49.0,31.0
50.0,34.0
51.0,29.0
52.0,89.0
53.0,14.0
54.0,16.0
55.0,107.0
56.0,46.0
57.0,24.0
58.0,20.0
59.0,19.0
60.0,54.0
61.0,31.0
62.0,53.0
63.0,24.0
64.0,15.0
65.0,42.0
66.0,73.0
67.0,83.0
68.0,16.0
69.0,13.0
70.0,10.0
71.0,68.0
72.0,21.0
73.0,28.0
74.0,46.0
75.0,52.0
76.0,36.0
77.0,24.0
78.0,54.0
79.0,51.0
80.0,35.0
81.0,14.0
82.0,27.0
83.0,28.0
84.0,25.0
85.0,41.0
86.0,23.0
87.0,36.0
88.0,21.0
89.0,35.0
90.0,36.0
91.0,25.0
92.0,11.0
93.0,44.0
94.0,29.0
95.0,24.0
96.0,37.0
97.0,23.0
98.0,31.0
99.0,36.0
100.0,27.0
101.0,163.0
102.0,52.0
103.0,13.0
104.0,34.0
105.0,16.0
106.0,59.0
107.0,33.0
108.0,10.0
109.0,37.0
110.0,9.0
111.0,32.0
112.0,168.0
113.0,11.0
114.0,15.0
115.0,20.0
116.0,14.0
117.0,16.0
118.0,13.0
119.0,33.0
120.0,11.0
121.0,13.0
122.0,44.0
123.0,22.0
124.0,16.0
125.0,9.0
126.0,32.0
127.0,12.0
128.0,16.0
129.0,14.0
130.0,36.0
131.0,18.0
132.0,11.0
133.0,14.0
134.0,11.0
135.0,32.0
136.0,13.0
137.0,10.0
138.0,10.0
139.0,39.0
140.0,24.0
141.0,15.0
142.0,20.0
143.0,15.0
144.0,13.0
145.0,12.0
146.0,12.0
147.0,15.0
148.0,13.0
149.0,19.0
150.0,18.0
151.0,16.0
152.0,15.0
153.0,11.0
154.0,32.0
155.0,11.0
156.0,17.0
157.0,24.0
158.0,12.0
159.0,12.0
160.0,10.0
161.0,24.0
162.0,9.0
163.0,11.0
164.0,10.0
165.0,13.0
166.0,13.0
167.0,11.0
168.0,12.0
169.0,10.0
170.0,15.0
171.0,10.0
172.0,12.0
173.0,9.0
174.0,34.0
175.0,9.0
176.0,10.0
177.0,30.0
178.0,38.0
179.0,11.0
180.0,12.0
181.0,11.0
182.0,13.0
183.0,15.0
184.0,11.0
185.0,13.0
186.0,11.0
187.0,17.0
188.0,27.0
189.0,10.0
190.0,10.0
191.0,11.0
192.0,13.0
193.0,13.0
194.0,14.0
195.0,9.0
196.0,14.0
197.0,13.0
198.0,10.0
199.0,10.0
200.0,11.0
201.0,11.0
202.0,10.0
203.0,41.0
204.0,12.0
205.0,10.0
206.0,16.0
207.0,9.0
208.0,11.0
209.0,14.0
210.0,12.0
211.0,12.0
212.0,9.0
213.0,10.0
214.0,14.0
215.0,20.0
216.0,13.0
217.0,13.0
218.0,11.0
219.0,12.0
220.0,11.0
221.0,13.0
222.0,13.0
223.0,9.0
224.0,9.0
225.0,10.0
226.0,11.0
227.0,11.0
228.0,15.0
229.0,10.0
230.0,11.0
231.0,12.0
232.0,15.0
233.0,11.0
234.0,11.0
235.0,14.0
236.0,13.0
237.0,12.0
238.0,9.0
239.0,12.0
240.0,8.0
241.0,14.0
242.0,9.0
