Epoch,Ep_Reward
0.0,24.0
1.0,27.0
2.0,14.0
3.0,21.0
4.0,25.0
5.0,17.0
6.0,15.0
7.0,39.0
8.0,23.0
9.0,30.0
10.0,29.0
11.0,12.0
12.0,42.0
13.0,23.0
14.0,10.0
15.0,17.0
16.0,26.0
17.0,14.0
18.0,19.0
19.0,12.0
20.0,16.0
21.0,24.0
22.0,14.0
23.0,21.0
24.0,14.0
25.0,15.0
26.0,8.0
27.0,18.0
28.0,9.0
29.0,19.0
30.0,14.0
31.0,10.0
32.0,21.0
33.0,17.0
34.0,24.0
35.0,21.0
36.0,12.0
37.0,26.0
38.0,22.0
39.0,13.0
40.0,10.0
41.0,26.0
42.0,21.0
43.0,11.0
44.0,12.0
45.0,16.0
46.0,13.0
47.0,20.0
48.0,10.0
49.0,11.0
50.0,13.0
51.0,10.0
52.0,15.0
53.0,15.0
54.0,9.0
55.0,13.0
56.0,10.0
57.0,10.0
58.0,13.0
59.0,12.0
60.0,11.0
61.0,13.0
62.0,10.0
63.0,13.0
64.0,11.0
65.0,13.0
66.0,11.0
67.0,9.0
68.0,11.0
69.0,10.0
70.0,15.0
71.0,10.0
72.0,11.0
73.0,13.0
74.0,10.0
75.0,15.0
76.0,14.0
77.0,10.0
78.0,9.0
79.0,12.0
80.0,10.0
81.0,11.0
82.0,11.0
83.0,11.0
84.0,10.0
85.0,15.0
86.0,9.0
87.0,10.0
88.0,12.0
89.0,20.0
90.0,10.0
91.0,12.0
92.0,31.0
93.0,9.0
94.0,11.0
95.0,11.0
96.0,10.0
97.0,12.0
98.0,10.0
99.0,10.0
100.0,10.0
101.0,10.0
102.0,8.0
103.0,10.0
104.0,16.0
105.0,11.0
106.0,10.0
107.0,9.0
108.0,12.0
109.0,10.0
110.0,12.0
111.0,10.0
112.0,10.0
113.0,15.0
114.0,9.0
115.0,10.0
116.0,13.0
117.0,14.0
118.0,9.0
119.0,12.0
120.0,9.0
121.0,10.0
122.0,11.0
123.0,11.0
124.0,11.0
125.0,9.0
126.0,11.0
127.0,10.0
128.0,10.0
129.0,11.0
130.0,9.0
131.0,11.0
132.0,9.0
133.0,22.0
134.0,10.0
135.0,11.0
136.0,10.0
137.0,9.0
138.0,11.0
139.0,8.0
140.0,11.0
141.0,10.0
142.0,9.0
143.0,14.0
144.0,10.0
145.0,11.0
146.0,9.0
147.0,11.0
148.0,10.0
149.0,11.0
150.0,10.0
151.0,10.0
152.0,10.0
153.0,11.0
154.0,10.0
155.0,9.0
156.0,11.0
157.0,9.0
158.0,11.0
159.0,15.0
160.0,10.0
161.0,9.0
162.0,11.0
163.0,11.0
164.0,11.0
165.0,10.0
166.0,11.0
167.0,10.0
168.0,9.0
169.0,9.0
170.0,11.0
171.0,9.0
172.0,9.0
173.0,10.0
174.0,10.0
175.0,9.0
176.0,12.0
177.0,11.0
178.0,14.0
179.0,13.0
180.0,10.0
181.0,10.0
182.0,12.0
183.0,15.0
184.0,10.0
185.0,10.0
186.0,9.0
187.0,12.0
188.0,10.0
189.0,13.0
190.0,10.0
191.0,10.0
192.0,10.0
193.0,9.0
194.0,9.0
195.0,9.0
196.0,8.0
197.0,10.0
198.0,10.0
199.0,14.0
200.0,15.0
201.0,11.0
202.0,11.0
203.0,10.0
204.0,12.0
205.0,10.0
206.0,9.0
207.0,10.0
208.0,10.0
209.0,10.0
210.0,10.0
211.0,9.0
212.0,9.0
213.0,12.0
214.0,9.0
215.0,9.0
216.0,10.0
217.0,10.0
218.0,11.0
219.0,9.0
220.0,9.0
221.0,9.0
222.0,10.0
223.0,9.0
224.0,10.0
225.0,10.0
226.0,8.0
227.0,11.0
228.0,8.0
229.0,12.0
230.0,9.0
231.0,14.0
232.0,10.0
233.0,9.0
234.0,10.0
235.0,11.0
236.0,13.0
237.0,10.0
238.0,11.0
239.0,8.0
240.0,8.0
241.0,10.0
242.0,11.0
