Epoch,Ep_Reward
0.0,24.0
1.0,27.0
2.0,14.0
3.0,21.0
4.0,25.0
5.0,17.0
6.0,15.0
7.0,39.0
8.0,23.0
9.0,30.0
10.0,29.0
11.0,12.0
12.0,50.0
13.0,118.0
14.0,13.0
15.0,56.0
16.0,55.0
17.0,23.0
18.0,23.0
19.0,13.0
20.0,74.0
21.0,21.0
22.0,14.0
23.0,34.0
24.0,72.0
25.0,11.0
26.0,33.0
27.0,66.0
28.0,41.0
29.0,24.0
30.0,80.0
31.0,56.0
32.0,29.0
33.0,22.0
34.0,34.0
35.0,49.0
36.0,41.0
37.0,32.0
38.0,51.0
39.0,72.0
40.0,25.0
41.0,97.0
42.0,52.0
43.0,16.0
44.0,96.0
45.0,24.0
46.0,18.0
47.0,65.0
48.0,46.0
49.0,21.0
50.0,78.0
51.0,29.0
52.0,21.0
53.0,22.0
54.0,39.0
55.0,16.0
56.0,17.0
57.0,14.0
58.0,24.0
59.0,10.0
60.0,10.0
61.0,19.0
62.0,19.0
63.0,22.0
64.0,19.0
65.0,17.0
66.0,11.0
67.0,13.0
68.0,10.0
69.0,12.0
70.0,13.0
71.0,13.0
72.0,9.0
73.0,10.0
74.0,13.0
75.0,16.0
76.0,16.0
77.0,13.0
78.0,10.0
79.0,10.0
80.0,10.0
81.0,12.0
82.0,10.0
83.0,12.0
84.0,10.0
85.0,14.0
86.0,16.0
87.0,12.0
88.0,12.0
89.0,12.0
90.0,11.0
91.0,10.0
92.0,15.0
93.0,14.0
94.0,13.0
95.0,11.0
96.0,12.0
97.0,11.0
98.0,10.0
99.0,9.0
100.0,9.0
101.0,9.0
102.0,15.0
103.0,11.0
104.0,10.0
105.0,8.0
106.0,9.0
107.0,9.0
108.0,13.0
109.0,12.0
110.0,10.0
111.0,10.0
112.0,9.0
113.0,12.0
114.0,13.0
115.0,11.0
116.0,22.0
117.0,11.0
118.0,10.0
119.0,9.0
120.0,10.0
121.0,10.0
122.0,9.0
123.0,10.0
124.0,10.0
125.0,9.0
126.0,12.0
127.0,10.0
128.0,14.0
129.0,12.0
130.0,11.0
131.0,10.0
132.0,10.0
133.0,10.0
134.0,10.0
135.0,13.0
136.0,9.0
137.0,13.0
138.0,10.0
139.0,14.0
140.0,9.0
141.0,9.0
142.0,9.0
143.0,11.0
144.0,12.0
145.0,10.0
146.0,10.0
147.0,9.0
148.0,9.0
149.0,11.0
150.0,9.0
151.0,14.0
152.0,10.0
153.0,10.0
154.0,10.0
155.0,13.0
156.0,15.0
157.0,10.0
158.0,12.0
159.0,10.0
160.0,8.0
161.0,9.0
162.0,10.0
163.0,12.0
164.0,8.0
165.0,10.0
166.0,10.0
167.0,9.0
168.0,9.0
169.0,11.0
170.0,11.0
171.0,9.0
172.0,9.0
173.0,10.0
174.0,10.0
175.0,12.0
176.0,10.0
177.0,8.0
178.0,9.0
179.0,9.0
180.0,10.0
181.0,9.0
182.0,9.0
183.0,9.0
184.0,11.0
185.0,10.0
186.0,12.0
187.0,10.0
188.0,10.0
189.0,10.0
190.0,10.0
191.0,11.0
192.0,11.0
193.0,9.0
194.0,9.0
195.0,9.0
196.0,8.0
197.0,10.0
198.0,10.0
199.0,11.0
200.0,10.0
201.0,12.0
202.0,10.0
203.0,161.0
204.0,10.0
205.0,13.0
206.0,12.0
207.0,11.0
208.0,9.0
209.0,13.0
210.0,11.0
211.0,9.0
212.0,10.0
213.0,10.0
214.0,11.0
215.0,10.0
216.0,11.0
217.0,11.0
218.0,12.0
219.0,12.0
220.0,11.0
221.0,12.0
222.0,11.0
223.0,11.0
224.0,11.0
225.0,12.0
226.0,11.0
227.0,11.0
228.0,11.0
229.0,10.0
230.0,10.0
231.0,9.0
232.0,10.0
233.0,9.0
234.0,10.0
235.0,12.0
236.0,10.0
237.0,13.0
238.0,10.0
239.0,10.0
240.0,8.0
241.0,12.0
242.0,10.0
