Epoch,Ep_Reward
0.0,24.0
1.0,27.0
2.0,12.0
3.0,12.0
4.0,44.0
5.0,19.0
6.0,28.0
7.0,15.0
8.0,13.0
9.0,21.0
10.0,11.0
11.0,10.0
12.0,27.0
13.0,14.0
14.0,30.0
15.0,30.0
16.0,10.0
17.0,17.0
18.0,25.0
19.0,12.0
20.0,17.0
21.0,17.0
22.0,41.0
23.0,19.0
24.0,24.0
25.0,24.0
26.0,14.0
27.0,13.0
28.0,11.0
29.0,40.0
30.0,27.0
31.0,16.0
32.0,17.0
33.0,49.0
34.0,17.0
35.0,19.0
36.0,71.0
37.0,74.0
38.0,79.0
39.0,20.0
40.0,58.0
41.0,129.0
42.0,114.0
43.0,17.0
44.0,112.0
45.0,103.0
46.0,115.0
47.0,172.0
48.0,21.0
49.0,102.0
50.0,17.0
51.0,15.0
52.0,26.0
53.0,197.0
54.0,16.0
55.0,68.0
56.0,175.0
57.0,41.0
58.0,16.0
59.0,52.0
60.0,80.0
61.0,50.0
62.0,31.0
63.0,128.0
64.0,69.0
65.0,80.0
66.0,179.0
67.0,137.0
68.0,211.0
69.0,110.0
70.0,212.0
71.0,247.0
72.0,371.0
73.0,19.0
74.0,130.0
75.0,23.0
76.0,37.0
77.0,96.0
78.0,209.0
79.0,147.0
80.0,70.0
81.0,22.0
82.0,131.0
83.0,246.0
84.0,132.0
85.0,135.0
86.0,248.0
87.0,29.0
88.0,181.0
89.0,87.0
90.0,249.0
91.0,163.0
92.0,63.0
93.0,82.0
94.0,24.0
95.0,15.0
96.0,72.0
97.0,48.0
98.0,60.0
99.0,65.0
100.0,158.0
101.0,120.0
102.0,68.0
103.0,37.0
104.0,68.0
105.0,268.0
106.0,96.0
107.0,229.0
108.0,265.0
109.0,29.0
110.0,155.0
111.0,284.0
112.0,101.0
113.0,138.0
114.0,117.0
115.0,132.0
116.0,141.0
117.0,43.0
118.0,109.0
119.0,150.0
120.0,107.0
121.0,75.0
122.0,79.0
123.0,65.0
124.0,61.0
125.0,25.0
126.0,140.0
127.0,121.0
128.0,132.0
129.0,52.0
130.0,106.0
131.0,54.0
132.0,39.0
133.0,110.0
134.0,130.0
135.0,18.0
136.0,206.0
137.0,110.0
138.0,142.0
139.0,78.0
140.0,161.0
141.0,107.0
142.0,15.0
143.0,42.0
144.0,87.0
145.0,143.0
146.0,40.0
147.0,163.0
148.0,60.0
149.0,247.0
150.0,188.0
151.0,21.0
152.0,309.0
153.0,421.0
154.0,80.0
155.0,73.0
156.0,207.0
157.0,245.0
158.0,156.0
159.0,159.0
160.0,110.0
161.0,123.0
162.0,125.0
163.0,140.0
164.0,111.0
165.0,209.0
166.0,126.0
167.0,122.0
168.0,67.0
169.0,127.0
170.0,120.0
171.0,124.0
172.0,18.0
173.0,84.0
174.0,31.0
175.0,185.0
176.0,141.0
177.0,183.0
178.0,205.0
179.0,66.0
180.0,196.0
181.0,49.0
182.0,149.0
183.0,110.0
184.0,123.0
185.0,118.0
186.0,157.0
187.0,253.0
188.0,170.0
189.0,168.0
190.0,139.0
191.0,104.0
192.0,151.0
193.0,109.0
194.0,117.0
195.0,149.0
196.0,77.0
197.0,182.0
198.0,133.0
199.0,156.0
200.0,136.0
201.0,115.0
202.0,32.0
203.0,155.0
204.0,188.0
205.0,147.0
206.0,115.0
207.0,166.0
208.0,184.0
209.0,177.0
210.0,153.0
211.0,135.0
212.0,247.0
213.0,145.0
214.0,148.0
215.0,223.0
216.0,315.0
217.0,246.0
218.0,142.0
219.0,223.0
220.0,199.0
221.0,180.0
222.0,206.0
223.0,170.0
224.0,161.0
225.0,206.0
226.0,228.0
227.0,64.0
228.0,239.0
229.0,337.0
230.0,371.0
231.0,143.0
232.0,32.0
233.0,43.0
234.0,122.0
235.0,142.0
236.0,176.0
237.0,197.0
238.0,175.0
239.0,209.0
240.0,168.0
