Epoch,Ep_Reward
0.0,53.0
1.0,61.0
2.0,39.0
3.0,31.0
4.0,49.0
5.0,47.0
6.0,38.0
7.0,29.0
8.0,35.0
9.0,35.0
10.0,31.0
11.0,30.0
12.0,33.0
13.0,40.0
14.0,38.0
15.0,52.0
16.0,32.0
17.0,34.0
18.0,104.0
19.0,40.0
20.0,84.0
21.0,46.0
22.0,53.0
23.0,55.0
24.0,48.0
25.0,105.0
26.0,30.0
27.0,89.0
28.0,50.0
29.0,65.0
30.0,72.0
31.0,68.0
32.0,62.0
33.0,60.0
34.0,69.0
35.0,76.0
36.0,75.0
37.0,46.0
38.0,46.0
39.0,58.0
40.0,71.0
41.0,40.0
42.0,90.0
43.0,31.0
44.0,46.0
45.0,80.0
46.0,50.0
47.0,77.0
48.0,41.0
49.0,57.0
50.0,88.0
51.0,62.0
52.0,58.0
53.0,59.0
54.0,72.0
55.0,77.0
56.0,107.0
57.0,84.0
58.0,44.0
59.0,55.0
60.0,73.0
61.0,71.0
62.0,86.0
63.0,83.0
64.0,60.0
65.0,50.0
66.0,58.0
67.0,75.0
68.0,74.0
69.0,79.0
70.0,89.0
71.0,107.0
72.0,117.0
73.0,111.0
74.0,91.0
75.0,114.0
76.0,85.0
77.0,95.0
78.0,428.0
79.0,315.0
80.0,105.0
81.0,132.0
82.0,94.0
83.0,163.0
84.0,106.0
85.0,500.0
86.0,85.0
87.0,172.0
88.0,164.0
89.0,265.0
90.0,215.0
91.0,235.0
92.0,500.0
93.0,251.0
94.0,500.0
95.0,500.0
96.0,425.0
97.0,432.0
98.0,409.0
99.0,465.0
100.0,86.0
101.0,40.0
102.0,11.0
103.0,52.0
104.0,500.0
105.0,500.0
106.0,483.0
107.0,500.0
108.0,413.0
109.0,435.0
110.0,313.0
111.0,109.0
112.0,43.0
113.0,217.0
114.0,355.0
115.0,328.0
116.0,307.0
117.0,328.0
118.0,400.0
119.0,395.0
120.0,500.0
121.0,500.0
122.0,241.0
123.0,169.0
124.0,135.0
125.0,120.0
126.0,130.0
127.0,125.0
128.0,132.0
129.0,136.0
