Epoch,Ep_Reward
0.0,-178.795684912082
1.0,-124.87661998834906
2.0,-171.60118642833106
3.0,-194.52036362877317
4.0,-155.7378922357604
5.0,-177.09821069547917
6.0,-107.77660498717444
7.0,-163.5761133028283
8.0,-153.8038253257843
9.0,-153.6890629730496
10.0,-143.4316420776271
11.0,-522.6631388775238
12.0,-647.3801793954999
13.0,-322.7770015492191
14.0,-147.0265000551127
15.0,-151.7295382490684
16.0,-120.14285599657583
17.0,-149.3002274435438
18.0,-188.34114967750924
19.0,-133.66486519867118
20.0,-138.1327071454274
21.0,-172.1158324255312
22.0,-158.97305823386117
23.0,-398.5301232201839
24.0,-144.67712485536984
25.0,-150.36342931173556
26.0,-146.8820850860152
27.0,-125.7182872929005
28.0,-154.19376757241187
29.0,-98.37210503237871
30.0,-133.51943533463663
31.0,-250.6026286057488
32.0,-129.78791246354805
33.0,-119.73376453664311
34.0,-263.34891248930035
35.0,-116.51894827171212
36.0,-216.60896742898305
37.0,-106.67158777393975
38.0,-256.91722424422915
39.0,-120.8400640085754
40.0,-373.815188306949
41.0,-459.18102311048085
42.0,-629.1727564261176
43.0,-264.3954585189218
44.0,-404.5469108395693
45.0,-180.1491562531313
46.0,-409.38620036116686
47.0,-193.11715888741315
48.0,-139.38469126064484
49.0,-166.58192190001702
50.0,-162.76444122157284
51.0,-101.00944950295742
52.0,-269.33790296805876
53.0,-211.27968492754218
54.0,-291.29298996205625
55.0,-305.4124186715534
56.0,-300.8672329142888
57.0,-302.91139796290594
58.0,-317.7996904185887
59.0,-256.22731126967426
60.0,-258.51620278391005
61.0,-492.154173227973
62.0,-240.0238480469602
63.0,-341.95981696403965
64.0,-240.79024396474497
65.0,-375.8457793157657
66.0,-252.0404425434334
67.0,-303.3164983177759
68.0,-315.78231228783136
69.0,-326.4700920208529
70.0,-191.6088472759319
71.0,-158.54204394042927
72.0,-226.6711191095771
73.0,-356.9441762021749
74.0,-548.6870326327173
75.0,-152.6605447650384
76.0,-378.81388466799694
77.0,-245.88476259751152
78.0,-248.61722730978974
79.0,-32.84461486047272
80.0,-192.77232637322948
81.0,-111.42378239220889
82.0,-234.08939008106898
83.0,-181.31825612588963
84.0,-204.2368341186415
85.0,-104.46927551865957
86.0,168.92413166376784
87.0,-133.1403500309392
88.0,-222.03708492138207
89.0,-242.39587793539096
90.0,-267.16797764584095
91.0,-334.96122212519833
92.0,-232.53607342567318
93.0,-27.057281292684564
94.0,-133.74233057047036
95.0,-245.19066902700928
96.0,-288.91589969820575
97.0,-125.61535123977264
98.0,-267.6316937440003
99.0,-200.74735897574533
100.0,-140.4649760680006
101.0,-197.44606356393587
102.0,-227.53524227980824
103.0,-304.44180537636373
104.0,-352.79501601404917
105.0,-306.93146778312155
106.0,-87.50260683571707
107.0,-63.10172315242156
108.0,-238.81852970529644
109.0,-265.53989680756933
110.0,-294.2136752782203
111.0,-131.21639076264668
112.0,-230.04915621906684
113.0,-77.79859544749276
114.0,-96.67080128610091
115.0,-354.1799532408529
116.0,-170.7091045003467
117.0,-285.2499077942549
118.0,-72.61430598171849
119.0,-141.6862455124837
120.0,-217.87262620883817
121.0,-300.8522221958601
122.0,-177.44695203735887
123.0,-247.95935270200914
124.0,-3.91324101384801
125.0,-194.00613363403215
126.0,-202.61237287983553
127.0,-47.306366878741045
128.0,-16.998713511206816
129.0,-40.315862768524866
130.0,-201.74995791550455
131.0,-277.83631990059837
132.0,-17.30086489139086
133.0,-138.8155306204863
134.0,-143.28579613259865
135.0,-94.07083884731212
136.0,-198.36792092741922
137.0,-47.015379502174795
138.0,-179.132476769084
139.0,-215.1780920065892
140.0,-494.7011610288008
141.0,-187.3919761530433
142.0,-92.8681908749132
143.0,-306.8287052506465
144.0,-98.62472519341374
145.0,-170.0156943915016
146.0,-191.7269199172228
147.0,-75.24151296956738
148.0,-249.97534562992035
149.0,-6.6381465277004
150.0,-123.54345047319677
151.0,-152.22566306239494
152.0,16.831619849393775
153.0,-257.6996639898226
154.0,-125.81853412431688
155.0,-42.60607628829406
156.0,-36.08402184528822
157.0,-82.74882425601831
158.0,-236.6389160166129
159.0,-47.696809369760075
160.0,-128.27217867574296
161.0,-305.15389306339375
162.0,-217.74871633579323
163.0,-301.5921183676544
164.0,-52.617591892309505
165.0,-114.20546909099595
166.0,-177.29440256306756
167.0,-89.64164403496684
168.0,1.822886334792031
169.0,-86.16829894066916
170.0,-187.4464613110033
171.0,-20.80458047281448
172.0,-196.08709206448165
173.0,-240.15643658812766
174.0,-252.95069397360365
175.0,-203.28299689907158
176.0,-235.73596401240823
177.0,-152.05336305667706
178.0,-131.79910308235026
179.0,-227.56135571853315
180.0,-88.76029506435461
181.0,134.35676191841605
182.0,-246.89163297764642
183.0,-229.65593589213455
184.0,-171.86606516764635
185.0,-181.98608397170696
186.0,-214.8100869185415
187.0,-55.54169169059027
188.0,148.15723131582024
189.0,-202.98632737557622
190.0,-151.65902078433044
191.0,-127.28998121617234
192.0,-71.25029714292825
193.0,-110.86841986312568
194.0,-41.38210849225396
195.0,-95.98143217528619
196.0,244.4346026478134
197.0,-97.54544889193055
198.0,-141.2239833323407
199.0,-172.25595407630402
200.0,-198.97672494127073
201.0,-181.07865437171523
202.0,-120.63065286046844
203.0,-153.69128157005716
204.0,-265.7413110749561
205.0,-178.7253951473739
206.0,-108.28592442537119
207.0,-193.21912599820146
208.0,-63.70987566257916
209.0,-175.91419059359316
210.0,-62.054025698637574
211.0,88.58191672589031
212.0,-289.1699356969613
213.0,-18.58436470951703
214.0,-97.97389968076564
215.0,-28.087866375834725
216.0,-134.55473942233243
217.0,-207.90125635653195
218.0,-228.48099704853396
219.0,-234.6506643071574
220.0,-85.81009272939752
221.0,-79.806064206315
222.0,-147.16163205327797
223.0,-391.9641580120715
224.0,-39.67080444233098
225.0,-200.1760344412957
226.0,116.19282774026085
227.0,-105.47795925821687
228.0,-14.590024642782012
229.0,-91.5029763319504
230.0,-85.97176424237499
231.0,-160.29702187984628
232.0,-236.10270785066288
233.0,-35.60253783025838
234.0,-171.2518162115552
235.0,-89.13785096759645
236.0,-92.32470519213709
237.0,-237.8271529396752
238.0,-55.0225209105448
239.0,-150.00272821448849
240.0,-276.41654966191385
241.0,-315.542667711117
242.0,-148.63283787189263
243.0,-177.09692580430618
244.0,-278.57059184326783
245.0,-58.093373721584854
246.0,-171.44649816984878
247.0,-60.185829252518936
248.0,-228.98324298217972
249.0,-118.69600792430529
250.0,-132.96059901033829
251.0,-174.78072136443382
252.0,-252.9240286975293
253.0,-111.02970268786629
254.0,-154.92015417934294
255.0,-95.15676400934677
256.0,-208.99388185211765
257.0,-168.68539876842647
258.0,-108.17815700351201
259.0,-114.44037056467636
260.0,143.3221439975469
261.0,-282.52064641754066
262.0,-48.88721928852208
263.0,-151.05129897293523
264.0,-4.076028059730464
265.0,-108.95428017454289
266.0,111.0813024624164
267.0,-42.382304697000905
268.0,-202.81566765445785
269.0,-120.26806160256241
270.0,-71.79344309215702
271.0,-162.9975333933235
272.0,-132.97612510247873
273.0,-122.61147687316821
274.0,-113.81707019236029
275.0,-176.85910538596852
276.0,-11.3410297052352
277.0,-63.10047572398219
278.0,-77.34365093244747
279.0,-136.71712520913522
280.0,-78.12866042522091
281.0,-63.87506090729417
282.0,-64.91257666582877
283.0,-62.75235855215499
284.0,-76.20904067938754
285.0,-36.659924228059495
286.0,-151.85256234970868
287.0,-131.68505432600531
288.0,-111.72939836608006
289.0,-114.11759086058929
290.0,-104.2033054353888
291.0,-16.612508768704203
292.0,-87.44232936021513
293.0,19.923739604155003
294.0,-77.22483355939794
295.0,-77.31487126639445
296.0,-92.1734649467264
297.0,-118.64893526782568
298.0,-109.1388306115428
299.0,173.4254620898348
300.0,-105.33163341949056
301.0,-42.789137451044205
302.0,-188.41294453322735
303.0,-93.23602443771897
304.0,-25.98204703571765
305.0,-170.6336860044559
306.0,-74.26643590881642
307.0,-59.32517117370112
308.0,-76.6049337085221
309.0,48.41564732951662
310.0,-109.18301178836701
311.0,-120.24573558231619
312.0,-122.50599245213195
313.0,-101.79693510602033
314.0,-57.23600593864523
315.0,-116.54148802358173
316.0,-95.4181199342864
317.0,-38.32136232139702
318.0,-57.76652731908479
319.0,-72.80364120444086
320.0,-117.72070400745368
321.0,-82.23820857736332
322.0,-57.793127719599504
323.0,-90.54909537535715
324.0,-73.49487347599506
325.0,-82.23571729830716
326.0,-152.71673876828595
327.0,-38.54024545554786
328.0,-169.25138801557745
329.0,-127.37846707237624
330.0,-84.35612567397321
331.0,100.10376940487899
332.0,-88.03469946429028
333.0,265.7571024578157
334.0,239.82694094692178
335.0,-187.98425824136683
336.0,32.175968129615
337.0,-111.54355402925323
338.0,101.63855689065976
339.0,-193.49551161730588
340.0,-14.009414325008647
341.0,-253.7666565023328
342.0,-22.03497773963869
343.0,-170.07298586965618
344.0,-35.208200402205165
345.0,-230.63529477568164
346.0,-76.61639185866503
347.0,-20.987690842914205
348.0,-187.70100969114804
349.0,-58.38380062070098
350.0,-73.07270307947628
351.0,-136.23707059151687
352.0,-76.41065563354769
353.0,-219.53269510363373
354.0,-96.54182094489258
355.0,-100.57574156068786
356.0,-171.3946245767308
357.0,-115.64405719015228
358.0,-201.91724573285506
359.0,-68.5318818690254
360.0,93.13392541399183
361.0,-82.63179551697333
362.0,-47.3914075145769
363.0,-119.50132066363608
364.0,-222.25967249543393
365.0,2.2526956136131417
366.0,254.73489503704417
367.0,-83.62404958249054
368.0,-95.94036968545062
369.0,28.274481542863683
370.0,-33.01803534505676
371.0,218.46523139911324
372.0,181.42178449426973
373.0,-7.516314946213527
374.0,-226.4716292172489
375.0,-219.67806252872748
376.0,-181.57086166631018
377.0,-24.351878109969732
378.0,-200.52453027240665
379.0,-167.63336213039514
380.0,-534.4983965626582
