Epoch,Ep_Reward
0.0,24.0
1.0,27.0
2.0,14.0
3.0,21.0
4.0,25.0
5.0,17.0
6.0,15.0
7.0,39.0
8.0,23.0
9.0,30.0
10.0,29.0
11.0,12.0
12.0,46.0
13.0,49.0
14.0,9.0
15.0,15.0
16.0,21.0
17.0,15.0
18.0,39.0
19.0,14.0
20.0,27.0
21.0,13.0
22.0,14.0
23.0,36.0
24.0,47.0
25.0,13.0
26.0,10.0
27.0,26.0
28.0,13.0
29.0,16.0
30.0,16.0
31.0,11.0
32.0,21.0
33.0,13.0
34.0,16.0
35.0,11.0
36.0,21.0
37.0,12.0
38.0,17.0
39.0,14.0
40.0,15.0
41.0,12.0
42.0,17.0
43.0,15.0
44.0,16.0
45.0,13.0
46.0,17.0
47.0,13.0
48.0,13.0
49.0,13.0
50.0,10.0
51.0,11.0
52.0,15.0
53.0,14.0
54.0,18.0
55.0,11.0
56.0,13.0
57.0,12.0
58.0,17.0
59.0,11.0
60.0,40.0
61.0,11.0
62.0,16.0
63.0,13.0
64.0,14.0
65.0,13.0
66.0,9.0
67.0,12.0
68.0,12.0
69.0,15.0
70.0,14.0
71.0,11.0
72.0,10.0
73.0,15.0
74.0,10.0
75.0,11.0
76.0,13.0
77.0,35.0
78.0,12.0
79.0,19.0
80.0,13.0
81.0,13.0
82.0,10.0
83.0,12.0
84.0,10.0
85.0,12.0
86.0,10.0
87.0,13.0
88.0,9.0
89.0,11.0
90.0,30.0
91.0,10.0
92.0,13.0
93.0,15.0
94.0,10.0
95.0,13.0
96.0,12.0
97.0,11.0
98.0,10.0
99.0,12.0
100.0,11.0
101.0,12.0
102.0,10.0
103.0,15.0
104.0,14.0
105.0,13.0
106.0,11.0
107.0,9.0
108.0,11.0
109.0,10.0
110.0,8.0
111.0,10.0
112.0,9.0
113.0,13.0
114.0,19.0
115.0,19.0
116.0,11.0
117.0,9.0
118.0,9.0
119.0,9.0
120.0,20.0
121.0,17.0
122.0,10.0
123.0,11.0
124.0,10.0
125.0,10.0
126.0,10.0
127.0,13.0
128.0,12.0
129.0,18.0
130.0,8.0
131.0,9.0
132.0,11.0
133.0,10.0
134.0,11.0
135.0,18.0
136.0,10.0
137.0,19.0
138.0,10.0
139.0,10.0
140.0,12.0
141.0,9.0
142.0,11.0
143.0,12.0
144.0,17.0
145.0,13.0
146.0,12.0
147.0,9.0
148.0,9.0
149.0,11.0
150.0,9.0
151.0,12.0
152.0,12.0
153.0,13.0
154.0,12.0
155.0,9.0
156.0,9.0
157.0,12.0
158.0,12.0
159.0,10.0
160.0,8.0
161.0,9.0
162.0,9.0
163.0,12.0
164.0,8.0
165.0,10.0
166.0,20.0
167.0,9.0
168.0,10.0
169.0,12.0
170.0,10.0
171.0,11.0
172.0,10.0
173.0,9.0
174.0,14.0
175.0,9.0
176.0,13.0
177.0,8.0
178.0,9.0
179.0,9.0
180.0,11.0
181.0,10.0
182.0,12.0
183.0,10.0
184.0,10.0
185.0,12.0
186.0,9.0
187.0,10.0
188.0,12.0
189.0,10.0
190.0,10.0
191.0,10.0
192.0,10.0
193.0,10.0
194.0,9.0
195.0,9.0
196.0,8.0
197.0,10.0
198.0,10.0
199.0,11.0
200.0,10.0
201.0,10.0
202.0,10.0
203.0,9.0
204.0,10.0
205.0,10.0
206.0,13.0
207.0,12.0
208.0,8.0
209.0,10.0
210.0,10.0
211.0,11.0
212.0,9.0
213.0,10.0
214.0,10.0
215.0,9.0
216.0,10.0
217.0,12.0
218.0,11.0
219.0,9.0
220.0,9.0
221.0,10.0
222.0,11.0
223.0,10.0
224.0,11.0
225.0,11.0
226.0,9.0
227.0,11.0
228.0,8.0
229.0,13.0
230.0,9.0
231.0,9.0
232.0,11.0
233.0,9.0
234.0,11.0
235.0,13.0
236.0,10.0
237.0,10.0
238.0,10.0
239.0,9.0
240.0,9.0
241.0,13.0
242.0,11.0
